Date,Close
2015-02-25,27.37
2015-02-26,27.96
2015-02-27,28.13
2015-03-02,28.75
2015-03-03,28.94
2015-03-04,28.92
2015-03-05,29.07
2015-03-06,28.65
2015-03-09,28.71
2015-03-10,27.99
2015-03-11,27.78
2015-03-12,28.06
2015-03-13,27.65
2015-03-16,28.08
2015-03-17,27.88
2015-03-18,28.31
2015-03-19,28.18
2015-03-20,28.25
2015-03-23,28.27
2015-03-24,28.88
2015-03-25,28.35
2015-03-26,28.18
2015-03-27,27.88
2015-03-30,28.06
2015-03-31,27.74
2015-04-01,27.47
2015-04-02,27.07
2015-04-06,27.2
2015-04-07,27.24
2015-04-08,27.44
2015-04-09,27.4
2015-04-10,27.43
2015-04-13,27.43
2015-04-14,26.99
2015-04-15,27.05
2015-04-16,27.18
2015-04-17,26.64
2015-04-20,27.23
2015-04-21,27.15
2015-04-22,27.46
2015-04-23,27.87
2015-04-24,28.68
2015-04-27,28.31
2015-04-28,28.22
2015-04-29,28.07
2015-04-30,27.44
2015-05-01,27.56
2015-05-04,27.64
2015-05-05,27.15
2015-05-06,26.75
2015-05-07,27.1
2015-05-08,27.45
2015-05-11,27.29
2015-05-12,26.94
2015-05-13,26.97
2015-05-14,27.46
2015-05-15,27.32
2015-05-18,27.33
2015-05-19,27.46
2015-05-20,27.63
2015-05-21,27.84
2015-05-22,27.73
2015-05-26,27.36
2015-05-27,27.71
2015-05-28,27.71
2015-05-29,27.27
2015-06-01,27.46
2015-06-02,27.7
2015-06-03,27.76
2015-06-04,27.58
2015-06-05,27.48
2015-06-08,27.17
2015-06-09,27.11
2015-06-10,27.63
2015-06-11,27.5
2015-06-12,27.37
2015-06-15,27.15
2015-06-16,27.24
2015-06-17,27.33
2015-06-18,27.81
2015-06-19,27.88
2015-06-22,27.98
2015-06-23,28.17
2015-06-24,27.93
2015-06-25,27.9
2015-06-26,27.65
2015-06-29,27.06
2015-06-30,27
2015-07-01,27.17
2015-07-02,27.37
2015-07-06,27.28
2015-07-07,27.5
2015-07-08,27.09
2015-07-09,27.23
2015-07-10,27.81
2015-07-13,28.59
2015-07-14,29.21
2015-07-15,29.2
2015-07-16,30.09
2015-07-17,34.98
2015-07-20,34.64
2015-07-21,34.77
2015-07-22,34.76
2015-07-23,33.74
2015-07-24,32.74
2015-07-27,32.91
2015-07-28,32.98
2015-07-29,33.07
2015-07-30,33.23
2015-07-31,32.88
2015-08-03,33.24
2015-08-04,33.06
2015-08-05,33.66
